capital,season,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country,lat,lon
Abuja,Autumn,2002,25.55824175824176,1.1363749316787943,437.4,49,0.0,0,42970.8778021978,32846.78076923077,0,Nigeria,9.055555555,7.491388888
Accra,Autumn,2002,26.032967032967033,0.9481039494175192,107.6,32,0.0,0,43215.26098901099,37539.674835164835,3,Ghana,5.55602,-0.1969
Addis Ababa,Autumn,2002,15.231868131868131,1.0116959491510742,186.9,22,0.0,0,42970.8778021978,39165.173296703295,3,Ethiopia,9.027222222,38.736944444
Algiers,Autumn,2002,20.037362637362637,3.580592699280953,170.6,19,0.0,0,40660.652417582416,34316.485714285714,3,Algeria,36.776388888,3.058611111
Alofi,Autumn,2002,24.333516483516483,1.1213596644018786,292.90000000000003,35,0.0,0,45038.4943956044,36991.94186813187,3,Niue,-19.056,-169.921
Amman,Autumn,2002,20.27032967032967,4.590805896462924,38.1,7,0.0,0,41145.46659340659,36547.22846153846,4,Jordan,31.95,35.933333333
Amsterdam,Autumn,2002,11.06098901098901,3.72000449669533,194.7,37,0.0,0,38496.35351648351,21685.79945054945,1,Kingdom of the Netherlands,52.366666666,4.883333333
Andorra la Vella,Autumn,2002,10.31868131868132,4.22494344703537,207.3,27,6.720000000000001,3,40004.123406593404,30972.054835164836,1,Andorra,42.507222222,1.522222222
Antananarivo,Autumn,2002,18.652747252747254,2.4513076174582915,89.0,16,0.0,0,45021.146263736264,38460.75868131868,3,Madagascar,-18.91,47.525
Apia,Autumn,2002,26.523626373626374,0.7139615870207198,744.1,74,0.0,0,44618.95197802198,37181.368571428575,0,Samoa,-13.833333333,-171.833333333
Asmara,Autumn,2002,17.21043956043956,1.255067870752558,103.6,23,0.0,0,42511.751648351645,38427.104835164835,3,Eritrea,15.333333333,38.916666666
Astana,Autumn,2002,4.984065934065934,8.547747848672964,49.0,10,20.23,7,38715.88725274725,23939.9110989011,2,Kazakhstan,51.133333333,71.433333333
Asunción,Autumn,2002,25.067032967032965,5.350940829944557,380.6,31,0.0,0,45574.20956043956,35582.85538461538,3,Paraguay,-25.28,-57.634444444
Athens,Autumn,2002,18.66043956043956,3.460840588992444,160.4,24,0.0,0,40531.78626373626,31912.60945054945,3,Greece,37.984166666,23.728055555
Avarua,Autumn,2002,23.27307692307692,1.3718257844587909,281.59999999999997,36,0.0,0,45215.00857142857,33887.01758241758,3,Cook Islands,-21.207,-159.771
Baghdad,Autumn,2002,27.591208791208793,6.623143737458293,13.3,4,0.0,0,41017.46835164836,36114.083076923074,4,Iraq,33.315277777,44.366111111
Baku,Autumn,2002,18.752197802197802,5.0010105205954325,37.3,8,0.0,0,40260.552637362634,31729.160989010987,4,Azerbaijan,40.366655555,49.835183333
Bamako,Autumn,2002,27.132417582417585,1.1343959142883455,219.79999999999998,23,0.0,0,42712.91252747253,37166.47362637363,3,Mali,12.645833333,-7.992222222
Bandar Seri Begawan,Autumn,2002,27.040109890109893,0.5385278173058581,490.09999999999997,75,0.0,0,43264.89648351649,36939.5956043956,0,Brunei,4.916666666,114.916666666
Bangui,Autumn,2002,25.91813186813187,0.7877011730174936,484.1,69,0.0,0,43299.614395604396,33090.67252747253,0,Central African Republic,4.37325,18.562833333
Basseterre,Autumn,2002,26.804945054945055,0.6723943512658028,246.6,50,0.0,0,42364.555714285714,37765.62439560439,0,Saint Kitts and Nevis,17.298333333,-62.734166666
Beijing,Autumn,2002,11.068131868131868,8.097511677064464,98.8,11,0.21,0,40317.974725274726,31501.061428571425,1,People's Republic of China,39.90403,116.407526
Beirut,Autumn,2002,22.365384615384617,3.7088085261658703,52.9,10,0.0,0,40955.47054945055,36115.0154945055,4,Lebanon,33.886944444,35.513055555
Belgrade,Autumn,2002,13.618681318681318,4.843923159494953,182.6,32,0.21,0,39700.18989010989,26293.00626373626,1,Serbia,44.817777777,20.456944444
