capital,season,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country
Abuja,Autumn,2019,25.385714285714286,1.465440504768403,427.0,53,0.0,0,42974.15417582417,31295.49175824176,0,Nigeria
Accra,Autumn,2019,26.389560439560437,0.894505340755328,372.0,54,0.0,0,43217.26263736263,35098.94681318681,0,Ghana
Addis Ababa,Autumn,2019,14.866483516483516,0.8316000288952656,316.0,39,0.0,0,42974.15417582417,36772.477032967035,2,Ethiopia
Algiers,Autumn,2019,20.22197802197802,4.129381234191076,226.7,36,0.0,0,40676.37472527473,32648.56582417583,3,Algeria
Alofi,Autumn,2019,24.29230769230769,0.8661512273950465,397.3,33,0.0,0,45031.20901098901,35153.58098901099,2,Niue
Amman,Autumn,2019,20.967032967032967,4.0672487273355,19.9,7,0.0,0,41158.52164835165,36665.23945054945,4,Jordan
Amsterdam,Autumn,2019,10.900549450549452,4.147003566870732,338.6,52,0.0,0,38524.28626373626,21303.82593406593,3,Kingdom of the Netherlands
Andorra la Vella,Autumn,2019,11.340659340659341,6.191575423679038,231.5,28,41.65,9,40023.49813186813,30942.385274725275,1,Andorra
Antananarivo,Autumn,2019,19.755494505494507,1.9783614228481854,196.9,24,0.0,0,45013.94824175824,39049.7810989011,2,Madagascar
Apia,Autumn,2019,25.284065934065932,0.5860830013686497,440.9,54,0.0,0,44613.77197802198,37920.09857142857,0,Samoa
Asmara,Autumn,2019,16.61813186813187,1.4309964764984315,179.2,39,0.0,0,42517.446923076925,38572.13879120879,2,Eritrea
Astana,Autumn,2019,3.1648351648351647,10.61776157228353,77.3,15,32.06,3,38742.55857142857,23826.20373626374,1,Kazakhstan
Asunción,Autumn,2019,25.776923076923076,4.693963663237592,425.59999999999997,23,0.0,0,45564.25681318682,34886.776043956044,2,Paraguay
Athens,Autumn,2019,20.573626373626375,3.382974863270338,218.2,17,0.0,0,40548.2210989011,34126.861318681316,2,Greece
Avarua,Autumn,2019,23.162087912087912,1.0263836368353534,400.1,36,0.0,0,45206.841868131865,34346.06648351648,2,Cook Islands
Baghdad,Autumn,2019,27.193406593406593,6.859434738580495,17.5,5,0.0,0,41031.2243956044,35780.05164835165,4,Iraq
Baku,Autumn,2019,16.84120879120879,4.938142888703731,123.5,21,0.14,0,40278.49395604396,28586.871868131868,3,Azerbaijan
Bamako,Autumn,2019,28.105494505494505,1.3591960562825016,213.6,28,0.0,0,42717.5443956044,36134.54,2,Mali
Bandar Seri Begawan,Autumn,2019,27.036263736263738,0.930503625106852,908.6,76,0.0,0,43266.63901098901,33703.79098901099,0,Brunei
Bangui,Autumn,2019,26.44945054945055,1.0060509846119075,431.4,54,0.0,0,43301.176373626375,31362.316813186815,0,Central African Republic
Basseterre,Autumn,2019,27.207142857142856,0.7931852602909755,252.7,61,0.0,0,42371.03230769231,38222.15,0,Saint Kitts and Nevis
Beijing,Autumn,2019,13.989560439560439,8.59716205268898,88.5,10,1.12,1,40335.59791208791,29506.368461538463,3,People's Republic of China
Beirut,Autumn,2019,24.39230769230769,2.605218300481248,56.5,10,0.0,0,40969.567912087914,36090.11483516484,4,Lebanon
Belgrade,Autumn,2019,15.596703296703296,4.311024641014417,129.4,21,0.0,0,39721.27043956044,28820.239780219777,3,Serbia
Belmopan,Autumn,2019,26.707142857142856,1.640876653035261,537.1999999999999,69,0.0,0,42376.30637362637,35340.59153846154,0,Belize
Berlin,Autumn,2019,11.076373626373627,4.770361858271577,177.6,36,0.07,0,38484.39,21259.946043956046,3,Germany
Bishkek,Autumn,2019,11.192307692307692,7.596212225243589,121.0,20,19.599999999999998,6,39979.25879120879,31262.519999999997,1,Kyrgyzstan
Bissau,Autumn,2019,27.568681318681318,0.9131948907133142,440.0,50,0.0,0,42773.31164835165,33072.988021978024,0,Guinea-Bissau
Bogotá,Autumn,2019,12.857692307692307,0.7047821994899907,212.7,52,0.0,0,43286.377692307695,37476.49263736264,2,Colombia
Brasília,Autumn,2019,24.743956043956043,1.5230786651610029,144.0,25,0.0,0,44766.413736263734,39246.613626373626,2,Brazil
Bratislava,Autumn,2019,12.637912087912087,4.639877516698407,156.2,28,0.0,0,39242.85395604395,24239.506923076922,3,Slovakia
Brazzaville,Autumn,2019,26.10604395604396,0.9021836215179749,753.8,67,0.0,0,43910.253186813185,28905.54747252747,0,Republic of the Congo
Bridgetown,Autumn,2019,28.089010989010987,0.7214107397547228,199.4,49,0.0,0,42681.915384615386,38161.85384615385,2,Barbados
Bucharest,Autumn,2019,15.14010989010989,5.284243979249485,98.8,22,1.6099999999999999,1,39778.09076923077,26164.85813186813,3,Romania
Budapest,Autumn,2019,13.356593406593406,4.585140303143578,178.5,25,0.0,0,39339.43538461538,25746.905054945055,3,Hungary
Buenos Aires,Autumn,2019,17.29175824175824,4.583377355765942,262.7,22,0.0,0,46507.40098901099,34685.952967032965,2,Argentina
Cairo,Autumn,2019,25.52417582417582,3.472937938446054,16.400000000000002,3,0.0,0,41333.2656043956,37089.1367032967,4,Egypt
Canberra,Autumn,2019,14.195604395604395,4.624666044109133,92.4,14,3.85,1,46587.56241758241,39512.336593406595,2,Australia
Castries,Autumn,2019,27.60879120879121,0.6896292645969434,258.5,60,0.0,0,42615.43087912088,38541.2110989011,0,Saint Lucia
Cetinje,Autumn,2019,15.342857142857143,3.81010769334944,814.6,40,0.0,0,40041.04681318682,30428.978241758243,3,Montenegro
Chișinău,Autumn,2019,13.23021978021978,5.913172109418462,59.0,14,0.21,0,39412.829340659344,25568.1610989011,3,Moldova
City of Brussels,Autumn,2019,11.635164835164835,4.5210341399672815,247.1,43,0.0,0,38792.08714285715,19527.70076923077,3,Belgium
Commune of Monaco,Autumn,2019,17.451098901098902,4.254233042394222,520.1,35,0.0,0,39861.711318681315,29378.183406593405,3,Monaco
Conakry,Autumn,2019,26.583516483516483,0.7409099114922822,865.4,72,0.0,0,42939.19802197802,31535.215164835165,0,Guinea
